model,mse,mae,maxae,mse_ratio_vs_contact,mae_ratio_vs_contact,maxae_ratio_vs_contact
Contact-aware (identified params),8.927431190386415e-05,0.007914276793599129,0.014876963570713997,1.0,1.0,1.0
"No-contact (same s,E as identified)",0.00581596652045846,0.06764927506446838,0.1061822772026062,65.14714475448925,8.547751971371717,7.1373621840165695
No-contact (best E fit),4.489577349886531e-06,0.001550829503685236,0.005042182747274637,0.050289688647739715,0.1959534072575663,0.33892552894331285
